Rule: ('26155425805309568',) ==> ('11469144838403584',) , 0.272
Rule: ('27659050913272320', '27424405030704256') ==> ('21352602247922688',) , 0.273
Rule: ('5368145410852864', '21352602247922688') ==> ('24555101931700992',) , 0.283
Rule: ('27424405030704256', '12890630300398464') ==> ('21352602247922688',) , 0.284
Rule: ('25010421084019328',) ==> ('17490338947894016',) , 0.286
Rule: ('10666016019011968',) ==> ('11469144838403584',) , 0.288
Rule: ('8503562530852608',) ==> ('10666016019011968',) , 0.289
Rule: ('18133438656147712',) ==> ('7944825135218048',) , 0.294
Rule: ('10666016019011968', '9869596206970368') ==> ('7304178417862144',) , 0.299
Rule: ('18140151421282816', '21793729483431168') ==> ('10702039788833536',) , 0.309
Rule: ('9664617818813440', '7304178417862144') ==> ('11469144838403584',) , 0.314
Rule: ('16155769128467456',) ==> ('10666016019011968',) , 0.315
Rule: ('24384684879320704',) ==> ('29638109580437632',) , 0.320
Rule: ('21793729483431168',) ==> ('18140151421282816',) , 0.333
Rule: ('8574737923789056',) ==> ('10666016019011968',) , 0.337
Rule: ('17730032213977472',) ==> ('21925619338357120',) , 0.341
Rule: ('11469144838403584', '27102415898330496') ==> ('10666016019011968',) , 0.343
Rule: ('9664617818813440',) ==> ('11469144838403584',) , 0.344
Rule: ('8323222491274496',) ==> ('10666016019011968',) , 0.352
Rule: ('9869596206970368', '7304178417862144') ==> ('11469144838403584',) , 0.354
Rule: ('4931541047197568',) ==> ('11469144838403584',) , 0.355
Rule: ('17490338947894016',) ==> ('25010421084019328',) , 0.355
Rule: ('10666016019011968', '8574737923789056') ==> ('11469144838403584',) , 0.356
Rule: ('10666016019011968', '7304178417862144') ==> ('11469144838403584',) , 0.369
Rule: ('9869596206970368',) ==> ('11469144838403584',) , 0.374
Rule: ('11469144838403584', '4931541047197568') ==> ('10666016019011968',) , 0.377
Rule: ('11469144838403584', '10702039788833536') ==> ('10666016019011968',) , 0.382
Rule: ('10666016019011968', '27102415898330496') ==> ('11469144838403584',) , 0.382
Rule: ('14656137542265344',) ==> ('11469144838403584',) , 0.404
Rule: ('8323222491274496',) ==> ('11469144838403584',) , 0.408
Rule: ('22682133268421888',) ==> ('21925619338357120',) , 0.415
Rule: ('20155043056944128',) ==> ('9664617818813440',) , 0.419
Rule: ('11469144838403584', '7708925667033344') ==> ('10666016019011968',) , 0.419
Rule: ('10702039788833536', '21793729483431168') ==> ('18140151421282816',) , 0.421
Rule: ('17941835331811840',) ==> ('21925619338357120',) , 0.428
Rule: ('14604440363231232',) ==> ('22682133268421888',) , 0.432
Rule: ('11469144838403584', '8323222491274496') ==> ('10666016019011968',) , 0.439
Rule: ('19998413384087168',) ==> ('11469144838403584',) , 0.442
Rule: ('26333332478573952',) ==> ('9452576893995904',) , 0.449
Rule: ('7607278286672000',) ==> ('7304178417862144',) , 0.449
Rule: ('10666016019011968', '9664617818813440') ==> ('11469144838403584',) , 0.458
Rule: ('9869596206970368', '9664617818813440') ==> ('11469144838403584',) , 0.468
Rule: ('10666016019011968', '9869596206970368') ==> ('11469144838403584',) , 0.470
Rule: ('14604440363231232',) ==> ('17941835331811840',) , 0.473
Rule: ('11469144838403584', '8574737923789056') ==> ('10666016019011968',) , 0.476
Rule: ('10702039788833536', '10666016019011968') ==> ('11469144838403584',) , 0.478
Rule: ('17870158806017280',) ==> ('22932076739590784',) , 0.483
Rule: ('29638109580437632',) ==> ('24384684879320704',) , 0.483
Rule: ('14604440363231232',) ==> ('21925619338357120',) , 0.486
Rule: ('10666016019011968', '4931541047197568') ==> ('11469144838403584',) , 0.508
Rule: ('10666016019011968', '8323222491274496') ==> ('11469144838403584',) , 0.509
Rule: ('10666016019011968', '7708925667033344') ==> ('11469144838403584',) , 0.516
Rule: ('6793871878651648',) ==> ('11375118072159104',) , 0.529
